Basis,Method,X,Angle,Energy,nab,nai,nij
dz,mp2a,1.2,26,-2.144637729064247,1625,690,150
dz,mp2b,1.2,26,-2.1825982158437816,1625,690,150
dz,mp3b,1.2,26,-0.030212709766094692,1625,690,150
dz,mp3d,1.2,26,-0.04706918239175531,1625,690,150
dz,mp2a,1.2,27,-2.140227612703358,1621,689,150
dz,mp2b,1.2,27,-2.1783820537216467,1621,689,150
dz,mp3b,1.2,27,-0.029918322581715256,1621,689,150
dz,mp3d,1.2,27,-0.04668186827043391,1621,689,150
dz,mp2a,1.2,28,-2.1427085683809515,1625,683,149
dz,mp2b,1.2,28,-2.181060473555042,1625,683,149
dz,mp3b,1.2,28,-0.029362462130528705,1625,683,149
dz,mp3d,1.2,28,-0.04628359757856648,1625,683,149
dz,mp2a,1.2,29,-2.1422256433168596,1620,690,149
dz,mp2b,1.2,29,-2.1799956239064073,1620,690,149
dz,mp3b,1.2,29,-0.03031571720398568,1620,690,149
dz,mp3d,1.2,29,-0.046911953887366714,1620,690,149
dz,mp2a,1.2,30,-2.14368683903149,1623,689,148
dz,mp2b,1.2,30,-2.181623213695624,1623,689,148
dz,mp3b,1.2,30,-0.03007475967930534,1623,689,148
dz,mp3d,1.2,30,-0.04687702560053869,1623,689,148
dz,mp2a,1.2,31,-2.136388999311355,1625,685,149
dz,mp2b,1.2,31,-2.174349474642276,1625,685,149
dz,mp3b,1.2,31,-0.02620669080485405,1625,685,149
dz,mp3d,1.2,31,-0.0428592061892441,1625,685,149
dz,mp2a,1.4,15,-2.156016065629553,1896,796,174
dz,mp2b,1.4,15,-2.1904605588238644,1896,796,174
dz,mp3b,1.4,15,-0.02878302447899228,1896,796,174
dz,mp3d,1.4,15,-0.04455813832745509,1896,796,174
dz,mp2a,1.4,14,-2.1522180249748417,1884,792,173
dz,mp2b,1.4,14,-2.1864059924395423,1884,792,173
dz,mp3b,1.4,14,-0.030001316165580105,1884,792,173
dz,mp3d,1.4,14,-0.04583026552004016,1884,792,173
dz,mp2a,1.4,13,-2.1550062311008484,1880,795,169
dz,mp2b,1.4,13,-2.1890629436141156,1880,795,169
dz,mp3b,1.4,13,-0.032033463573139354,1880,795,169
dz,mp3d,1.4,13,-0.04795108521629332,1880,795,169
dz,mp2a,1.4,12,-2.1547903403725197,1877,790,170
dz,mp2b,1.4,12,-2.1890416832672748,1877,790,170
dz,mp3b,1.4,12,-0.032769094526845705,1877,790,170
dz,mp3d,1.4,12,-0.04876792291074106,1877,790,170
dz,mp2a,1.4,11,-2.154817787660951,1885,797,172
dz,mp2b,1.4,11,-2.188761553190575,1885,797,172
dz,mp3b,1.4,11,-0.03277844746310765,1885,797,172
dz,mp3d,1.4,11,-0.04866260951947873,1885,797,172
dz,mp2a,1.4,10,-2.1538274957874846,1882,793,171
dz,mp2b,1.4,10,-2.188111987273952,1882,793,171
dz,mp3b,1.4,10,-0.03372710419846178,1882,793,171
dz,mp3d,1.4,10,-0.04962651570831292,1882,793,171
dz,mp2a,1.4,9,-2.1514912028369912,1881,796,171
dz,mp2b,1.4,9,-2.1852649240394837,1881,796,171
dz,mp3b,1.4,9,-0.03481969626651504,1881,796,171
dz,mp3d,1.4,9,-0.05057763294258788,1881,796,171
dz,mp2a,1.4,8,-2.154237274355296,1885,797,171
dz,mp2b,1.4,8,-2.1881165865583654,1885,797,171
dz,mp3b,1.4,8,-0.03330543784994791,1885,797,171
dz,mp3d,1.4,8,-0.04907115172106166,1885,797,171
dz,mp2a,1.4,7,-2.1469587777281105,1882,799,170
dz,mp2b,1.4,7,-2.1808879181049425,1882,799,170
dz,mp3b,1.4,7,-0.03323509162776431,1882,799,170
dz,mp3d,1.4,7,-0.04887800468629899,1882,799,170
dz,mp2a,1.4,6,-2.1546560662493204,1881,796,172
dz,mp2b,1.4,6,-2.1886403675067885,1881,796,172
dz,mp3b,1.4,6,-0.03311366859482018,1881,796,172
dz,mp3d,1.4,6,-0.048791619923480134,1881,796,172
dz,mp2a,1.4,5,-2.142636522040436,1878,790,172
dz,mp2b,1.4,5,-2.176595092692322,1878,790,172
dz,mp3b,1.4,5,-0.03636838750433713,1878,790,172
dz,mp3d,1.4,5,-0.05211768925743651,1878,790,172
dz,mp2a,1.4,4,-2.1515543128159362,1888,793,173
dz,mp2b,1.4,4,-2.185803377365108,1888,793,173
dz,mp3b,1.4,4,-0.033798753808584575,1888,793,173
dz,mp3d,1.4,4,-0.049625917005964054,1888,793,173
dz,mp2a,1.4,3,-2.143361218046305,1876,797,172
dz,mp2b,1.4,3,-2.1771225139546013,1876,797,172
dz,mp3b,1.4,3,-0.03623415663137078,1876,797,172
dz,mp3d,1.4,3,-0.05186135198757086,1876,797,172
dz,mp2a,1.4,2,-2.1490081047861627,1886,795,171
dz,mp2b,1.4,2,-2.1830235884649083,1886,795,171
dz,mp3b,1.4,2,-0.03379638268479096,1886,795,171
dz,mp3d,1.4,2,-0.04950239127933842,1886,795,171
dz,mp2a,1.4,1,-2.155702294899033,1885,798,173
dz,mp2b,1.4,1,-2.189973579461997,1885,798,173
dz,mp3b,1.4,1,-0.02850385276601544,1885,798,173
dz,mp3d,1.4,1,-0.044121291962179926,1885,798,173
dz,mp2a,1.4,16,-2.1576204439178337,1888,793,173
dz,mp2b,1.4,16,-2.192223032092109,1888,793,173
